date,time,power_watts
2025-02-03,00:00,0.00
2025-02-03,00:05,0.00
2025-02-03,00:10,0.00
2025-02-03,00:15,0.00
2025-02-03,00:20,0.00
2025-02-03,00:25,0.00
2025-02-03,00:30,0.00
2025-02-03,00:35,0.00
2025-02-03,00:40,0.00
2025-02-03,00:45,0.00
2025-02-03,00:50,0.00
2025-02-03,00:55,0.00
2025-02-03,01:00,0.00
2025-02-03,01:05,0.00
2025-02-03,01:10,0.00
2025-02-03,01:15,0.00
2025-02-03,01:20,0.00
2025-02-03,01:25,0.00
2025-02-03,01:30,0.00
2025-02-03,01:35,0.00
2025-02-03,01:40,0.00
2025-02-03,01:45,0.00
2025-02-03,01:50,0.00
2025-02-03,01:55,0.00
2025-02-03,02:00,0.00
2025-02-03,02:05,0.00
2025-02-03,02:10,0.00
2025-02-03,02:15,0.00
2025-02-03,02:20,0.00
2025-02-03,02:25,0.00
2025-02-03,02:30,0.00
2025-02-03,02:35,0.00
2025-02-03,02:40,0.00
2025-02-03,02:45,0.00
2025-02-03,02:50,0.00
2025-02-03,02:55,0.00
2025-02-03,03:00,0.00
2025-02-03,03:05,0.00
2025-02-03,03:10,0.00
2025-02-03,03:15,0.00
2025-02-03,03:20,0.00
2025-02-03,03:25,0.00
2025-02-03,03:30,0.00
2025-02-03,03:35,0.00
2025-02-03,03:40,0.00
2025-02-03,03:45,0.00
2025-02-03,03:50,0.00
2025-02-03,03:55,0.00
2025-02-03,04:00,0.00
2025-02-03,04:05,0.00
2025-02-03,04:10,0.00
2025-02-03,04:15,0.00
2025-02-03,04:20,0.00
2025-02-03,04:25,0.00
2025-02-03,04:30,0.00
2025-02-03,04:35,0.00
2025-02-03,04:40,0.00
2025-02-03,04:45,0.00
2025-02-03,04:50,0.00
2025-02-03,04:55,0.00
2025-02-03,05:00,0.00
2025-02-03,05:05,0.00
2025-02-03,05:10,0.00
2025-02-03,05:15,0.00
2025-02-03,05:20,0.00
2025-02-03,05:25,0.00
2025-02-03,05:30,0.00
2025-02-03,05:35,0.00
2025-02-03,05:40,0.00
2025-02-03,05:45,0.00
2025-02-03,05:50,0.00
2025-02-03,05:55,0.00
2025-02-03,06:00,0.00
2025-02-03,06:05,0.00
2025-02-03,06:10,0.00
2025-02-03,06:15,0.00
2025-02-03,06:20,0.00
2025-02-03,06:25,0.00
2025-02-03,06:30,0.00
2025-02-03,06:35,0.00
2025-02-03,06:40,0.00
2025-02-03,06:45,0.00
2025-02-03,06:50,0.00
2025-02-03,06:55,0.00
2025-02-03,07:00,0.00
2025-02-03,07:05,0.00
2025-02-03,07:10,0.00
2025-02-03,07:15,0.00
2025-02-03,07:20,0.00
2025-02-03,07:25,0.00
2025-02-03,07:30,0.00
2025-02-03,07:35,0.00
2025-02-03,07:40,0.00
2025-02-03,07:45,0.00
2025-02-03,07:50,0.00
2025-02-03,07:55,0.00
2025-02-03,08:00,0.00
2025-02-03,08:05,0.00
2025-02-03,08:10,0.00
2025-02-03,08:15,0.00
2025-02-03,08:20,0.00
2025-02-03,08:25,0.00
2025-02-03,08:30,0.00
2025-02-03,08:35,0.00
2025-02-03,08:40,0.00
2025-02-03,08:45,0.00
2025-02-03,08:50,0.00
2025-02-03,08:55,0.00
2025-02-03,09:00,0.00
2025-02-03,09:05,0.00
2025-02-03,09:10,0.00
2025-02-03,09:15,0.00
2025-02-03,09:20,0.00
2025-02-03,09:25,0.00
2025-02-03,09:30,0.00
2025-02-03,09:35,0.00
2025-02-03,09:40,0.00
2025-02-03,09:45,0.00
2025-02-03,09:50,0.00
2025-02-03,09:55,0.00
2025-02-03,10:00,0.00
2025-02-03,10:05,0.00
2025-02-03,10:10,0.00
2025-02-03,10:15,0.00
2025-02-03,10:20,0.00
2025-02-03,10:25,0.00
2025-02-03,10:30,0.00
2025-02-03,10:35,0.00
2025-02-03,10:40,0.00
2025-02-03,10:45,0.00
2025-02-03,10:50,0.00
2025-02-03,10:55,0.00
2025-02-03,11:00,0.00
2025-02-03,11:05,0.00
2025-02-03,11:10,0.00
2025-02-03,11:15,0.00
2025-02-03,11:20,0.00
2025-02-03,11:25,0.00
2025-02-03,11:30,0.00
2025-02-03,11:35,0.00
2025-02-03,11:40,0.00
2025-02-03,11:45,0.00
2025-02-03,11:50,0.00
2025-02-03,11:55,0.00
2025-02-03,12:00,0.00
2025-02-03,12:05,0.00
2025-02-03,12:10,0.00
2025-02-03,12:15,0.00
2025-02-03,12:20,0.00
2025-02-03,12:25,0.00
2025-02-03,12:30,0.00
2025-02-03,12:35,0.00
2025-02-03,12:40,0.00
2025-02-03,12:45,0.00
2025-02-03,12:50,0.00
2025-02-03,12:55,0.00
2025-02-03,13:00,0.00
2025-02-03,13:05,0.00
2025-02-03,13:10,0.00
2025-02-03,13:15,0.00
2025-02-03,13:20,0.00
2025-02-03,13:25,0.00
2025-02-03,13:30,0.00
2025-02-03,13:35,0.00
2025-02-03,13:40,0.00
2025-02-03,13:45,0.00
2025-02-03,13:50,0.00
2025-02-03,13:55,0.00
2025-02-03,14:00,0.00
2025-02-03,14:05,0.00
2025-02-03,14:10,0.00
2025-02-03,14:15,0.00
2025-02-03,14:20,0.00
2025-02-03,14:25,0.00
2025-02-03,14:30,0.00
2025-02-03,14:35,0.00
2025-02-03,14:40,0.00
2025-02-03,14:45,0.00
2025-02-03,14:50,0.00
2025-02-03,14:55,0.00
2025-02-03,15:00,0.00
2025-02-03,15:05,0.00
2025-02-03,15:10,0.00
2025-02-03,15:15,0.00
2025-02-03,15:20,0.00
2025-02-03,15:25,0.00
2025-02-03,15:30,0.00
2025-02-03,15:35,0.00
2025-02-03,15:40,0.00
2025-02-03,15:45,0.00
2025-02-03,15:50,0.00
2025-02-03,15:55,0.00
2025-02-03,16:00,0.00
2025-02-03,16:05,0.00
2025-02-03,16:10,0.00
2025-02-03,16:15,0.00
2025-02-03,16:20,0.00
2025-02-03,16:25,0.00
2025-02-03,16:30,0.00
2025-02-03,16:35,0.00
2025-02-03,16:40,0.00
2025-02-03,16:45,0.00
2025-02-03,16:50,0.00
2025-02-03,16:55,0.00
2025-02-03,17:00,0.00
2025-02-03,17:05,0.00
2025-02-03,17:10,0.00
2025-02-03,17:15,0.00
2025-02-03,17:20,0.00
2025-02-03,17:25,0.00
2025-02-03,17:30,0.00
2025-02-03,17:35,0.00
2025-02-03,17:40,0.00
2025-02-03,17:45,0.00
2025-02-03,17:50,0.00
2025-02-03,17:55,0.00
2025-02-03,18:00,0.00
2025-02-03,18:05,0.00
2025-02-03,18:10,0.00
2025-02-03,18:15,0.00
2025-02-03,18:20,0.00
2025-02-03,18:25,0.00
2025-02-03,18:30,0.00
2025-02-03,18:35,0.00
2025-02-03,18:40,0.00
2025-02-03,18:45,0.00
2025-02-03,18:50,0.00
2025-02-03,18:55,0.00
2025-02-03,19:00,0.00
2025-02-03,19:05,0.00
2025-02-03,19:10,0.00
2025-02-03,19:15,0.00
2025-02-03,19:20,0.00
2025-02-03,19:25,0.00
2025-02-03,19:30,0.00
2025-02-03,19:35,0.00
2025-02-03,19:40,0.00
2025-02-03,19:45,0.00
2025-02-03,19:50,0.00
2025-02-03,19:55,0.00
2025-02-03,20:00,0.00
2025-02-03,20:05,0.00
2025-02-03,20:10,0.00
2025-02-03,20:15,0.00
2025-02-03,20:20,0.00
2025-02-03,20:25,0.00
2025-02-03,20:30,0.00
2025-02-03,20:35,0.00
2025-02-03,20:40,0.00
2025-02-03,20:45,0.00
2025-02-03,20:50,0.00
2025-02-03,20:55,0.00
2025-02-03,21:00,0.00
2025-02-03,21:05,0.00
2025-02-03,21:10,0.00
2025-02-03,21:15,0.00
2025-02-03,21:20,0.00
2025-02-03,21:25,0.00
2025-02-03,21:30,0.00
2025-02-03,21:35,0.00
2025-02-03,21:40,0.00
2025-02-03,21:45,0.00
2025-02-03,21:50,0.00
2025-02-03,21:55,0.00
2025-02-03,22:00,0.00
2025-02-03,22:05,0.00
2025-02-03,22:10,0.00
2025-02-03,22:15,0.00
2025-02-03,22:20,0.00
2025-02-03,22:25,0.00
2025-02-03,22:30,0.00
2025-02-03,22:35,0.00
2025-02-03,22:40,0.00
2025-02-03,22:45,0.00
2025-02-03,22:50,0.00
2025-02-03,22:55,0.00
2025-02-03,23:00,0.00
2025-02-03,23:05,0.00
2025-02-03,23:10,0.00
2025-02-03,23:15,0.00
2025-02-03,23:20,0.00
2025-02-03,23:25,0.00
2025-02-03,23:30,0.00
2025-02-03,23:35,0.00
2025-02-03,23:40,0.00
2025-02-03,23:45,0.00
2025-02-03,23:50,0.00
2025-02-03,23:55,0.00
